match_id	radiant_team	dire_team	radiant_score	dire_score	radiant_win	radiant_pick	dire_pick
4198909952	Newbee.Young	IamPoint  Club	24	31	False	[83,  9,  3,  95,  25]	[46,  2,  79,  110,  12]
4148475905	Vici  Gaming	EHOME	27	17	True	[109,  45,  110,  25,  88]	[82,  92,  19,  103,  3]
4174936066	Team  Empire	madjor  atendari	43	19	True	[97,  25,  19,  109,  112]	[22,  96,  20,  9,  53]
4197767170	The  Final  Tribe	Vega  Squadron	29	4	True	[42,  9,  25,  70,  112]	[2,  74,  10,  110,  75]
4268392449	Team  Root	Newbee.Young	29	10	True	[97,  65,  23,  64,  44]	[86,  55,  50,  106,  109]
4240332806	Newbee.Young	MAX.Y	26	14	True	[91,  2,  27,  72,  4]	[86,  8,  49,  45,  85]
4270743559	Alliance	Vega  Squadron	23	13	True	[91,  86,  109,  104,  111]	[97,  25,  1,  71,  3]
4246925323	EHOME	PSG.LGD	34	17	True	[94,  85,  38,  27,  114]	[12,  97,  121,  3,  23]
4271732748	Team  Root	CDEC  	26	21	True	[97,  64,  45,  78,  44]	[112,  106,  93,  19,  100]
4194420747	Team  Lithium	Infamous  Gaming	42	42	False	[2,  93,  97,  5,  3]	[65,  107,  84,  61,  109]
4260327439	Forward  Gaming	Team  Secret	24	17	True	[64,  44,  50,  49,  84]	[31,  28,  80,  10,  100]
4178454543	Nemiga  Gaming	Team  Empire	29	35	False	[3,  73,  33,  7,  36]	[84,  19,  45,  12,  5]
4269096977	HAPPY  GUYS	Alliance	23	32	False	[85,  15,  44,  97,  64]	[110,  49,  93,  65,  78]
4210464788	Team  Secret	J.Storm	33	14	True	[2,  63,  7,  10,  114]	[91,  72,  96,  85,  9]
4284856342	Newbee.mgb	Vici  Gaming	25	36	False	[27,  96,  76,  98,  78]	[49,  109,  86,  50,  103]
4245889049	Team  Liquid	Alliance	27	19	True	[109,  16,  69,  86,  98]	[53,  49,  6,  22,  78]
4267155481	Alliance	NoPangolier	22	29	False	[86,  80,  22,  38,  107]	[90,  16,  15,  105,  109]
4244574234	Plus  Ultra!!!	compLexity  Gaming	35	22	True	[109,  16,  27,  45,  3]	[97,  19,  86,  101,  70]
4138897436	Team  Liquid	MangoBay	43	30	True	[33,  6,  63,  21,  45]	[67,  9,  112,  25,  83]
4272893980	Team  Empire  Hope	Alliance	29	33	True	[75,  50,  2,  109,  61]	[111,  22,  10,  7,  78]
4136470556	BOOM  ID	Admiral  Dota	32	40	False	[53,  22,  36,  63,  107]	[72,  6,  65,  112,  91]
4218757151	Vici  Gaming	TNC  Predator	26	31	False	[54,  2,  36,  119,  3]	[27,  110,  7,  4,  67]
4258492448	KEEN  GAMING	Newbee	12	36	False	[45,  41,  76,  50,  103]	[109,  121,  23,  78,  27]
4287615015	Team  Serenity	KEEN  GAMING	27	37	False	[90,  29,  6,  47,  79]	[44,  86,  100,  19,  96]
4254044201	Clutch  Gamers	BOOM  ID	25	6	True	[31,  76,  8,  96,  50]	[27,  23,  2,  44,  86]
4259252268	Team  Liquid	PSG.LGD	34	26	True	[1,  16,  31,  90,  47]	[8,  59,  50,  86,  96]
4187461676	paiN  Gaming	Forward  Gaming	27	18	True	[63,  70,  84,  73,  75]	[27,  6,  2,  46,  110]
4164950062	Team  EVOS	PG.Barracx	35	18	True	[33,  20,  27,  41,  106]	[85,  17,  4,  64,  12]
4153661486	Team  EVOS	Nxl>	24	13	True	[104,  26,  91,  36,  72]	[2,  64,  7,  77,  10]
4162637869	paiN    X	compLexity  Gaming	30	26	True	[49,  12,  45,  70,  3]	[31,  19,  84,  33,  1]
4194258993	Clutch  Gamers	Dragon  Gaming	21	40	False	[75,  106,  48,  84,  96]	[46,  97,  110,  83,  44]
4238920593	Team  Aster	Newbee	24	32	False	[33,  86,  49,  71,  15]	[114,  40,  53,  27,  16]
4195047478	compLexity  Gaming	Natus  Vincere	38	21	True	[107,  46,  36,  31,  4]	[66,  12,  45,  88,  25]
4253923383	KEEN  GAMING	ForTheDream	12	22	False	[89,  64,  65,  71,  23]	[86,  57,  75,  95,  97]
4170281016	Interstellar	Team.  Spirit	20	40	False	[84,  75,  109,  19,  74]	[83,  12,  97,  110,  9]
4250392631	KEEN  GAMING	IamPoint  Club	33	17	True	[89,  64,  23,  55,  71]	[98,  13,  121,  91,  72]
4185745466	Team  Secret	paiN  Gaming	39	21	True	[104,  120,  2,  10,  96]	[53,  110,  45,  74,  88]
4186386490	Team.  Spirit	Backpacks  Gaming  	40	20	True	[3,  12,  104,  112,  22]	[63,  78,  84,  17,  21]
4246503484	Vici  Gaming	PSG.LGD	30	11	True	[109,  16,  103,  13,  110]	[8,  76,  85,  86,  57]
4260159549	TNC  Predator	YOSHIMOTO.DETONATOR	30	20	True	[38,  121,  98,  1,  96]	[109,  50,  100,  23,  16]
4149794878	Aurora  Esports  club	TNC  Predator	13	28	False	[63,  107,  47,  19,  79]	[22,  7,  23,  36,  59]
4189556798	Team  Aster	paiN  Gaming	8	27	False	[97,  114,  112,  7,  49]	[73,  19,  33,  9,  66]
4149069888	Gambit  Esports	Alliance	7	21	False	[2,  63,  25,  84,  6]	[110,  80,  9,  78,  7]
4234735678	BOOM  ID	Alter  Ego	34	16	True	[112,  49,  2,  44,  121]	[71,  80,  13,  38,  91]
4144109628	J.Storm	compLexity  Gaming	14	43	False	[88,  77,  110,  45,  114]	[3,  46,  36,  86,  48]
4243544133	KEEN  GAMING	PSG.LGD	11	25	False	[79,  9,  3,  94,  96]	[93,  59,  50,  27,  16]
4243576903	Vici  Gaming	ForTheDream	21	25	True	[48,  96,  110,  13,  121]	[57,  23,  31,  41,  27]
4244617290	Evil  Geniuses	borster	36	16	True	[49,  80,  50,  45,  100]	[74,  84,  121,  113,  16]
4280129610	Team  Root	EHOME	9	19	False	[29,  111,  94,  103,  109]	[98,  11,  41,  51,  64]
4180201546	Team.  Spirit	Team  Empire	17	3	True	[111,  12,  102,  7,  74]	[2,  110,  49,  67,  83]
4269027405	HAPPY  GUYS	Alliance	23	32	False	[85,  13,  6,  40,  71]	[26,  50,  44,  16,  103]
4247312462	BOOM  ID	Team  EVOS	24	44	False	[100,  98,  2,  67,  101]	[55,  3,  71,  44,  19]
4262404175	TNC  Predator	Lotac	20	15	True	[31,  23,  101,  44,  96]	[112,  78,  16,  80,  15]
4185950283	Recca  Esports	BOOM  ID	6	33	False	[31,  14,  84,  67,  40]	[20,  72,  96,  92,  91]
4166590545	Team  EVOS	Execration.安博电竞	35	27	True	[85,  10,  86,  36,  23]	[53,  4,  46,  45,  88]
4185679954	paiN  Gaming	Team  Secret	13	39	False	[56,  112,  33,  17,  84]	[78,  110,  73,  86,  23]
4243380307	Vici  Gaming	Team  Aster	13	20	False	[94,  38,  86,  23,  50]	[96,  89,  35,  79,  64]
4217858133	Forward  Gaming	Evil  Geniuses	33	13	True	[96,  67,  45,  25,  27]	[74,  48,  85,  2,  63]
4258066517	Underdogs	Kaipi	56	45	False	[85,  103,  45,  23,  44]	[31,  96,  89,  101,  49]
4143110232	Team.  Spirit	Elements  Pro  Gaming	43	29	True	[90,  12,  63,  88,  22]	[110,  46,  42,  2,  119]
4287311961	Newbee.mgb	Newbee	33	20	True	[96,  8,  23,  29,  79]	[15,  11,  64,  41,  51]
4151238744	Aurora  Esports  club	CDEC  	40	36	True	[79,  63,  19,  103,  73]	[112,  13,  109,  3,  2]
4239167579	NoPangolier	Team.  Spirit	9	27	False	[121,  2,  59,  103,  109]	[50,  44,  65,  78,  23]
4136945756	The  Final  Tribe	Team  Lithium	35	12	True	[63,  45,  17,  19,  119]	[36,  113,  74,  110,  84]
4211267681	Team  Aster	Vici  Gaming	19	30	False	[2,  85,  46,  79,  48]	[6,  36,  3,  25,  27]
4240179298	Fnatic	BOOM  ID	29	9	True	[79,  46,  110,  41,  96]	[31,  15,  78,  44,  25]
4158972003	Team  Empire	Team  Seasid3	30	13	True	[19,  110,  84,  40,  46]	[85,  8,  70,  25,  7]
4182962281	Vici  Gaming	Alliance	20	10	True	[72,  26,  45,  36,  91]	[3,  17,  48,  114,  20]
4217313385	Alliance	TNC  Predator	26	41	False	[112,  9,  40,  70,  2]	[3,  110,  96,  46,  98]
4182947947	paiN  Gaming	Evil  Geniuses	22	48	False	[93,  2,  110,  59,  84]	[23,  4,  3,  9,  112]
4179781738	Elements  Pro  Gaming	Team.  Spirit	16	34	False	[5,  72,  23,  108,  91]	[3,  12,  97,  119,  22]
4146954345	Team.  Spirit	The  Final  Tribe	37	23	True	[3,  6,  63,  100,  17]	[109,  19,  49,  7,  31]
4158392437	EHOME	IamPoint  Club	38	29	True	[34,  119,  19,  3,  63]	[25,  100,  112,  36,  70]
4239399030	Team.  Spirit	Virtus.pro	24	38	False	[87,  48,  78,  110,  23]	[69,  10,  50,  16,  101]
4246102133	compLexity  Gaming	Plus  Ultra!!!	23	43	False	[104,  13,  31,  86,  44]	[67,  78,  26,  45,  3]
4156915833	EHOME	DeathBringer  Gaming	23	10	True	[10,  7,  88,  31,  114]	[39,  86,  91,  72,  45]
4260831354	Vega  Squadron	Team.  Spirit	4	22	False	[49,  50,  1,  97,  112]	[38,  20,  9,  100,  76]
4161507449	Sterling  Global  Dragons	CDEC  	23	6	True	[6,  13,  85,  63,  112]	[86,  25,  109,  75,  96]
4245485692	Alliance	OG	24	21	False	[5,  77,  11,  50,  78]	[31,  1,  51,  97,  45]
4146716797	Team  Waooo	INVICTUS  GAMING	47	34	True	[113,  78,  77,  86,  7]	[74,  3,  88,  114,  36]
4148979839	Gambit  Esports	Alliance	22	33	False	[33,  110,  19,  71,  109]	[5,  9,  74,  20,  107]
4261746820	Newbee.mgb	OG	15	33	False	[101,  41,  114,  38,  50]	[66,  23,  100,  78,  44]
4225546373	Team  Secret	Virtus.pro	36	21	True	[83,  113,  63,  96,  61]	[110,  93,  74,  19,  33]
4269734020	CDEC  	Newbee	45	13	True	[103,  23,  41,  31,  101]	[109,  13,  121,  20,  69]
4197632134	Infamous  Gaming	ROOONS	32	30	True	[110,  45,  3,  74,  10]	[5,  36,  53,  88,  67]
